reviews.text,reviews.rating,sentiment_score,sentiment,text
"I only purchased this because I loved the sound quality. Alexa is just a added bonus personally as I rarely hit the ""tap"" button to ask her anything. The few times I asked her questions, she hasn't disappointed. EXTRA: Now what would make this device amazing is if Alexa was able to connect to my Apple Music playlist! If only...",5,2,POSITIVE,purchase love sound quality alexa add bonus personally rarely hit tap button ask times ask question hasn t disappoint extra device amazing alexa able connect apple music playlist
"Bought for my girlfriend so she can stop hoarding books. She's addicted to this now. It's great because it's small and cool looking, but perfect for her because she has immediate access to a plethora of books.",5,2,POSITIVE,buy girlfriend stop hoard book s addicted s great s small cool look perfect immediate access plethora book
I love this tablet! It's the perfect size. I can do everything on it and it was affordable!,5,2,POSITIVE,love tablet s perfect size affordable
Good product to kids for playing games.sssssssssss,5,2,POSITIVE,good product kid play game sssssssssss
So far so good. Compatible to my things and very responsive. Way better the. Using Siri lol (still love apple),5,2,POSITIVE,far good compatible thing responsive way well siri lol love apple
My mom's not to tech savvy but this opened her world and made every day things she does on her computer at her finger tips while comfortably sitting in her living room or on road trips! About road trips she can book a room just sitting in her car that might of unavailable once she got Inside. I have seen this happen. Smart phones are great but when you get older to have a full screen makes it much easier! She loves also loves to read and there are so many books on Amazon she no longer has to run out the door to the book store or library Very helpful and fun when she can sit down and enjoy a card game with multiple players all over the world when no one is home!,5,2,POSITIVE,mom s tech savvy open world day thing computer finger tip comfortably sit living room road trip road trip book room sit car unavailable get inside see happen smart phone great old screen make easy love loves read book amazon long run door book store library helpful fun sit enjoy card game multiple player world home
Awesome price on Black Friday! Great tablet for reading and searching the Internet. Has expandable memory slots which is great!,5,2,POSITIVE,awesome price black friday great tablet reading search internet expandable memory slot great
Love the fire tv! It's is fast and very responsive. If you have Amazon prime this is a must!,5,2,POSITIVE,love fire tv s fast responsive amazon prime
"I bought this to replace a firestick I gave to a family member. Faster, due to its ability to connect via Ethernet to your router. It also has the ability to allow a hard drive to plug into it. A fantastic device!",5,2,POSITIVE,buy replace firestick give family member fast ability connect ethernet router ability allow hard drive plug fantastic device
"This is my second Kindle tablet and I couldn't be any happier. I primarily use my tablet to read comics, they have the best comic reader on any device to read your CBZ files (ComicCat). Now that you can upgrade and add extra memory the 50 price tag can't be beat by rival companies. Great for the kids. If they break it it's not as bad as breaking say an IPAD at a minimum of 300.00 dollars.",5,2,POSITIVE,second kindle tablet couldn t happier primarily use tablet read comic_strip good comic reader device read cbz file comiccat upgrade add extra memory price tag t beat rival company great kid break s bad break ipad minimum dollar
The tablet is Excellent! Very fast and well worth the money! The display is great!,5,2,POSITIVE,tablet excellent fast worth money display great
This Fire TV meets all requirements. I haven't turn on the Apple TV since I purchased this device.,5,2,POSITIVE,fire tv meet requirement haven t turn apple tv purchase device
Gift for my husband who hates reading on the iPad. He loves this so much better!,5,2,POSITIVE,gift husband hate read ipad love well
I got this box's for a gift and they love it and for that price can't beat that,5,2,POSITIVE,get box s gift love price t beat
Hassel free easy set up and use. Great price with superior performance.,5,2,POSITIVE,hassel free easy set use great price superior performance
Easy to set up. Getting all my music through Amazon.,5,2,POSITIVE,easy set get music amazon
I bought this tablet because of the great price and all the things that it can do. Really excels in all fields.,5,2,POSITIVE,buy tablet great price thing excel field
This Paperwhite Kindle does exactly what it says....Great for reading Books outside in the sun light or when it is getting dark.,5,2,POSITIVE,paperwhite kindle exactly say great reading book outside sun light get dark
"Absolutely love the Amazon Echo! I work from my home office quite often and have my Echo sitting on the desk next to me. From playing music, searching for a number or address, checking the weather or asking a quick question... it's like having a co-worker/personal assistant by my side. The big difference is I can get what I need quickly and eliminate the need for unproductive small talk.",5,2,POSITIVE,absolutely love amazon echo work home office echo sit desk playing music search number address check weather ask quick question s like have co worker personal assistant big difference need quickly eliminate need unproductive small talk
EVERY ONE SHOULD OWN THIS PRODUCT. EVERY THING THAT THE AD SAYS IT DOES IT DOES. I BOUGHT THIS FOR THE MUSIC THERE IS NOTHING BETTER,5,2,POSITIVE,product thing ad say buy music well
"So far the 1yo loves it. I thought it would be too much, but no.",5,2,POSITIVE,far yo loves think
Very convienent and works like a charm! The children enjoy playing games on it too.,5,2,POSITIVE,convienent work like charm child enjoy playing game
"This device is a must have if you have a Amazon Prime account. Just say it and ""she"" does/play it, and its getting better. Worth buying!!!",5,2,POSITIVE,device amazon prime account play get well worth buy
All of the sales people were very helpful with selecting the proper product,5,2,POSITIVE,sale people helpful select proper product
Great product easy to use . Even my kids 8/10 can use it !,5,2,POSITIVE,great product easy use kid use
"I like the kindle paper white because you don't need s light on to read it,",5,2,POSITIVE,like kindle paper white don t need s light read
Buy it!! I can whisper from across the room and it understands perfectly. The speaker is great too!,5,2,POSITIVE,buy whisper room understand perfectly speaker great
This is by far the best streaming device I've ever owned!,5,2,POSITIVE,far good streaming device ve own
Easy to setup and connect. Works well with various apps,5,2,POSITIVE,easy setup connect work app
"Exactly what it is supposed to be. Works great and I love the built-in light. Perfect reader, and very quick delivery.",5,2,POSITIVE,exactly suppose work great love build light perfect reader quick delivery
Alexa does a great job playing music and adding items to my shopping list. I have not used very many of the skills but I think this item has great potential to continue to improve.,5,2,POSITIVE,alexa great job playing music add item shopping list skill think item great potential continue improve
"When you can get this thing on sale it's an amazing deal. Have all of your Amazon features right in your face. Books, Manga, Gaming, Amazon. It's easy to hold, has amazing battery life and has a pretty decent screen. Sure the Galaxy tablets have better specs, but it's the price and features you get from Amazon that make this device amazing!",5,2,POSITIVE,thing sale s amazing deal amazon feature right face book manga game amazon s easy hold amazing battery life pretty decent screen sure galaxy tablet well spec s price feature amazon device amazing
I like the paperwhite read its smaller then my tablet can go anywhere with me and I enjoy reading books on it,5,2,POSITIVE,like paperwhite read small tablet enjoy read book
Was so glad to get rid of my cable bill for TV. There are a lot of free stuff out there that this will save me a ton.,5,2,POSITIVE,glad rid cable bill tv lot free stuff save ton
It was for my niece she absolutely loves pink. And has been playing it since I gave it to her,5,2,POSITIVE,niece absolutely love pink playing give
Good. Needed product to hook up charger for Kindle e-reader.,5,2,POSITIVE,good need product hook charger kindle e reader
Fire TV is faster than the Fire stick. If you can afford the difference it is worth it.,5,2,POSITIVE,fire tv fast fire stick afford difference worth
Goo graphics and easy to use. Does much more than you think. A perfect gift.,5,2,POSITIVE,goo graphic easy use think perfect gift
We have joined the modern world and now have access to more viewing opportunities than we imagined. The best part is that this technology allows us to speak our request.,5,2,POSITIVE,join modern world access view opportunity imagine good technology allow speak request
Got this as a gift for my husband. He loves it! Easy to setup and is a nice piece of equipment. Awesome.,5,2,POSITIVE,get gift husband love easy setup nice piece equipment awesome
I brought this for my granddaughter and she loves it. She is able to download all of her games and apps that she uses to have on the iPad.,5,2,POSITIVE,bring granddaughter love able download game app use ipad
"We wanted an additional easily portable tablet for our family. The omnipresent advertising is annoying but also easy to just ignore. For 50 bucks, this is a great way to have an additional e-reader/browser/streaming and gaming device.",5,2,POSITIVE,want additional easily portable tablet family omnipresent advertising annoy easy ignore buck great way additional e reader browser stream gaming device
"This is my fourth one. I have one at work, one in the kitchen and one in the bedroom. This one was for my wife's work - she loves it. Good sound and amazing features.",5,2,POSITIVE,fourth work kitchen bedroom wife s work love good sound amazing feature
I'm having so much fun with Alexa no glitches so easy to work,5,2,POSITIVE,m have fun alexa glitch easy work
Looks pretty solid will update review as soon as gift is opened .,5,2,POSITIVE,look pretty solid update review soon gift open
"Could not be happier with this purchase. The voice activated command button on the remote works fantastic. If you do not have a smart TV, highly recommend this device. It buffers for maybe 5 seconds to start a show and then displays perfectly.",5,2,POSITIVE,happy purchase voice activate command button remote works fantastic smart tv highly recommend device buffer maybe second start display perfectly
"We purchased the Alexa without reading much up on it. We had several friends who raved about it, so we decided to get it before a pool party. It worked amazing!",5,2,POSITIVE,purchase alexa reading friend rave decide pool party work amazing
"Glad I made this purchase, limitless in potential for automation through out the house, great entertainment tool.",5,2,POSITIVE,glad purchase limitless potential automation house great entertainment tool
"Got it for my 9 year old son for his Common robot, he loves it, it's very easy to use and for the price well worth it",5,2,POSITIVE,get year old son common robot love s easy use price worth
I have an Amazon Echo and the Amazon Tap works wonderfully with Echo. The sound quality is great. It is easy to use and set up. It beats turning on the receiver for music. If you are looking for great and easy sound machine the Tap is it.,5,2,POSITIVE,amazon echo amazon tap work wonderfully echo sound quality great easy use set beat turn receiver music look great easy sound machine tap
I would recommend this product. It works great and ver compact.,5,2,POSITIVE,recommend product work great ver compact
Love this Kindle. You can adjust the font.It reads well outside no problems with sunlight. Best purchase.,5,2,POSITIVE,love kindle adjust font read outside problem sunlight good purchase
"I bought this item as a gift for my 15 year old niece for her birthday. She loves it and takes it with her almost everywhere she goes. Now that you can talk through it to use as a telephone it's even more fun to use. I was watching the prices go down and one weekend sale in April, Best Buy were practically giving them away, the online prices were so reasonable one weekend!!",5,2,POSITIVE,buy item gift year old niece birthday love take go talk use telephone s fun use watch price weekend sale april good buy practically give away online price reasonable weekend
Easy to use. Fun. Get news weather and music. Great addition to the household,5,2,POSITIVE,easy use fun news weather music great addition household
Best kindle ever! Easy to use and so beautiful kindle. I really recommend this kindle.,5,2,POSITIVE,good kindle easy use beautiful kindle recommend kindle
Love the kindle products. I bought the original kindle years ago so this is a nice upgrade.,5,2,POSITIVE,love kindle product buy original kindle year ago nice upgrade
I had the original Kindle for years and when it finally crashed I was heartbroken. I don't like to change once I get used to something so having to go out and buy a new Kindle was hard but I need my books. The paperwhite is great because the light is built in so I didn't need to hunt down a lighted cover. The reason I went with the paperwhite is because I can't read with my glasses on it gives me a headache and that model you are still able to adjust the font.It works great in sunlight I read on beach for 2 days while on vacation. It transfered all my books from the old kindle as soon as I registered it also so I still have my library.I am glad to say after being skeptical of change it was a great decission.,5,2,POSITIVE,original kindle year finally crash heartbroken don t like change having buy new kindle hard need book paperwhite great light build didn t need hunt light cover reason go paperwhite t read glass give headache model able adjust font work great sunlight read beach day vacation transfered book old kindle soon register library glad skeptical change great decission
"excellent product. very simple interface to navigate. variety of movies, games and app",5,2,POSITIVE,excellent product simple interface navigate variety movie game app
I have received great feedback re: how easy to use - the size of it is perfect for kids. Easy to use.,5,2,POSITIVE,receive great feedback easy use size perfect kid easy use
This tablet fits my needs and at $50 the price is right.,5,2,POSITIVE,tablet fit need price right
"This was my third Fire 7"" 2015 to purchase. One for me and two for gifts. The apps in the Amazon appstore are not a numerous as in other stores, but I've got email apps, games, office productivity, everything I ""need"". For a simple to use tablet it gets the job done very well. As an e-book reader it's great, but not outstanding. The screen is not as nice as higher end models, but for the price and quality this unit can not be beat! The speaker is mono and not as loud as nicer Fire units, but again this is a sub $50 unit.I use mine daily for email, web, some simple games, I've even sideloaded a few apps that work great (Your mileage may vary).Expect to like the unit for what it can do and you'll be happy. If you think this one is as good as a $150 tablet, well look elsewhere.All the sub $50 tablets I've seen out there can't hold a candle to this one's build quality and features.",5,2,POSITIVE,fire purchase gift app amazon appstore numerous store ve get email app game office productivity need simple use tablet get job e book reader s great outstanding screen nice high end model price quality unit beat speaker mono loud nicer fire unit sub unit use daily email web simple game ve sideloade app work great mileage vary expect like unit ll happy think good tablet look sub tablet ve see t hold candle s build quality feature
Purchased this for my wife for Mother's Day. Wasn't sure what we would do with it but we're finding things. She takes it everywhere with her. Sometimes we put it where we're sleeping and have it play thunderstorm sounds while we're going to sleep.,5,2,POSITIVE,purchase wife mother s day wasn t sure find thing take sleep play thunderstorm sound go sleep
"These are great. This is my second Paperwhite and second charger. Thinking about a third, fourth...because while putting fiction on one and non-fiction on other have been thinking how great to have a Kindle dedicated just to recipes, another to health books etc would be marvelous",5,2,POSITIVE,great second paperwhite second charger thinking fourth put fiction non fiction think great kindle dedicated recipe health book etc marvelous
Works great and enjoy using it. No problems yet. Might get another one soon.,5,2,POSITIVE,work great enjoy problem soon
Perfect for streaming movies and tv shows that aren't offered on regular cable,5,2,POSITIVE,perfect streaming movie tv show aren t offer regular cable
Really like the Amazon fire tv. It's an awesome product to have for tv lovers!!! Make sure u have strong Wifi!!!,5,2,POSITIVE,like amazon fire tv s awesome product tv lover sure u strong wifi
This is a great alternative to cable/box. Saves $.,5,2,POSITIVE,great alternative cable box save
I bought this for my kids its a cheap alternative to an Ipad mini and should they lose it or break it its easy to replace with little out of pocket.,5,2,POSITIVE,buy kid cheap alternative ipad mini lose break easy replace little pocket
"The Kindle Fire is el Fuego! That means it's good for what I ask it to do. I watch movies, read books, search the internet for ingredients that allow me to make delicious oatmeal cookies, and when in a pinch, this thing is just the right size to serve the cookies on also!",5,2,POSITIVE,kindle fire el fuego mean s good ask watch movie read book search internet ingredient allow delicious oatmeal cookie pinch thing right size serve cookie
"The Kindle Voyage is the first new model that I finally felt was good enough to replace my Kindle4NT (non-touch with side buttons). The original 4T and paperwhite models worked poorly for me, and lacked buttons. The pressure sensitive edges of the Voyage work great, and the touch screen functions work better in this model.Voyage is still at least $50 overpriced, but I ultimately worth the money if moving off an older button-style Kindle.",5,2,POSITIVE,kindle voyage new model finally feel good replace kindle nt non touch button original t paperwhite model work poorly lack button pressure sensitive edge voyage work great touch screen function work well model voyage overprice ultimately worth money move old button style kindle
Great tablet for beginners to use. Easy operating system,5,2,POSITIVE,great tablet beginner use easy operating system
I bought this for my husband for a Christmas gift. He absolutely loves it.He reads lots of books and does some web surfing. I am very pleased with this purchase.,5,2,POSITIVE,buy husband christmas gift absolutely love read lot book web surf pleased purchase
I purchased this tablet for my five year old and he loves IT and so do I. The games and activities are age appropriate. This tablet is such a great buy.,5,2,POSITIVE,purchase tablet year old love game activity age appropriate tablet great buy
"If you use 'okay google' on your phone as much as I do, you'll love Alexa. No more having to pull your phone out, just ask alexa! She is a great house assistant!",5,2,POSITIVE,use okay google phone ll love alexa having pull phone ask alexa great house assistant
The device was easy to operate and met all my expectations.,5,2,POSITIVE,device easy operate meet expectation
"I think that the Amazon Kindle tablet was a great purchase for my teenage daughter and grandson, very easy to operate. It kept them entertained for hours while we were traveling on the train for vacation.",5,2,POSITIVE,think amazon kindle tablet great purchase teenage daughter grandson easy operate keep entertain hour travel train vacation
Used the product almost everyday and love the product,5,2,POSITIVE,product everyday love product
"She can do all kinds of things with this, especially with all the skills we can enable in Amazon!",5,2,POSITIVE,kind thing especially skill enable amazon
I can't say enough great stuff about my Echo. We especially love to use it to play music for our dog while we are gone. Maybe we are nerds but we love it.,5,2,POSITIVE,t great stuff echo especially love use play music dog go maybe nerd love
Loved my Kindle so much I bought one for my wife too. She loves the Kindle and find we both devote more time to reading!,5,2,POSITIVE,love kindle buy wife love kindle find devote time read
"I love this Kindle. This is the second one I have purchased. It's easy to use, had great background light.",5,2,POSITIVE,love kindle second purchase s easy use great background light
"I just love the Amazon Echo. It does so many things that I've almost started to take them for granted. From the time I get up in the morning or when I get home from work Alexis is ready. First thing in the morning I ask about the weather and a synopsis of the news. I have her play music while I'm getting ready for work. I can set a timer if I'm cooking or to remind me it's time to leave. If a question pops into my head I can ask Alexis. If I want to know what's on my calendar for the day, I ask Alexis. Where have you been all my life?",5,2,POSITIVE,love amazon echo thing ve started grant time morning home work alexis ready thing morning ask weather synopsis news play music m get ready work set timer m cooking remind s time leave question pop head ask alexis want know s calendar day ask alexis life
"I bought this for my 12-year-old daughter. The camera, space, and design work perfectly for her. She loves it!",5,2,POSITIVE,buy year old daughter camera space design work perfectly love
"I'm truly elated with the Amazon Fire HD 8 tablet. I originally purchased this product specifically to attached to my Tablet Holder on my Nordic Track Treadmill, which already has a built-in tablet. However, I was so taken back by the versatility of the Fire HD 8 tablet that I decided to use the tablet as my everyday ""walk-about"" computer tablet instead on placing on my treadmill which I only use 1 to 3 times per week. I totally recommend the Fire HD 8 Tablet which on sale cost about $69.00.",5,2,POSITIVE,m truly elated amazon fire hd tablet originally purchase product specifically attach tablet holder nordic track treadmill build tablet take versatility fire hd tablet decide use tablet everyday walk computer tablet instead place treadmill use time week totally recommend fire hd tablet sale cost
"I ended up getting this Fire for $35 on Black Friday for my youngest son. Great price and great product, easy to use and set up.",5,2,POSITIVE,end get fire black friday young son great price great product easy use set
"Bought this for my mom as an upgrade to her older non-HD Kindle Fire and it is an improvement on all fronts - bigger better screen, better speakers, faster processor and updated operating system plus a slot for external storage. Great price for what you get.",5,2,POSITIVE,buy mom upgrade old non hd kindle fire improvement front big well screen well speaker fast processor update operating system plus slot external storage great price
This purchase was a no-brainer. The Kindle Paper white is all you need for an e-reader. Plus with Amazon you have an opportunity for many free e-books.,5,2,POSITIVE,purchase brainer kindle paper white need e reader plus amazon opportunity free e book
i bought this on a whim because my brother recommended i try it sometimes. hard to believe how important this is in my life. this has opened up my long forgotten youth with music and videos anytime,5,2,POSITIVE,buy whim brother recommend try hard believe important life open long forget youth music video anytime
"Family and I are loving it and we have yet, had a real opportunity to get into it!",5,2,POSITIVE,family love real opportunity
"We have this to our kids as their Christmas gift. Not only were the apps good, but you're able to set up separate profiles for each user as well as usage timers so they don't get stuck on it for hours.",5,2,POSITIVE,kids christmas gift app good able set separate profile user usage timer don t stick hour
This a great product for the price. The amazon benefits alone would have made the an excellent deal... But this is a great low-end tablet as well.,5,2,POSITIVE,great product price amazon benefit excellent deal great low end tablet
I LIKE THE FIRE TV STREAMING MEDIA PLAYER. IT WORKS WELL.,5,2,POSITIVE,like fire tv stream media player work
Great little charger. It works well. Price was great too.,5,2,POSITIVE,great little charger work price great
Couldnt have been a better product for day to day reading,5,2,POSITIVE,not well product day day read
My granddaughter loves this tablet. It's the perfect gift for a 2 year old,5,2,POSITIVE,granddaughter love tablet s perfect gift year old
It was a great buy at Black Friday easy to use very portable,5,2,POSITIVE,great buy black friday easy use portable
"The Amazon fire tablet is an excellent product. I primarily use it to purchase and read books from Kindle. Also, I use it for my Facebook activity. The battery life is long and it recharges quickly. My 10 year old son also enjoys using it. I would highly recommend this product to others.",5,2,POSITIVE,amazon fire tablet excellent product primarily use purchase read book kindle use facebook activity battery life long recharge quickly year old son enjoy highly recommend product
Bought this as a gift so I don't know much about it. Seems nice though,5,2,POSITIVE,buy gift don t know nice
The kindle is great for reading at night and is very comfortable.,5,2,POSITIVE,kindle great reading night comfortable
Bought online. BLack Friday and had options on colors. Avoided hassles in store and had prompt delivery.,5,2,POSITIVE,buy online black friday option color avoid hassle store prompt delivery
Awesome and expandable to so many different uses. Make sure to get the accessories to really take advantage of the unit.,5,2,POSITIVE,awesome expandable different use sure accessory advantage unit
The echo is fun and friendly and certainly helps with the kids math. Always fun to ask her random questions and try out new skills. Have one in all the kids rooms. Great for music listening.,5,2,POSITIVE,echo fun friendly certainly help kids math fun ask random question try new skill kid room great music listen
Bought this as a gift for my niece. Hope she likes it,5,2,POSITIVE,buy gift niece hope like
I bought 6 of these 4 for my children & 1 for me and my husband. Very easy to set up and for the money they are the best buy in tablets. My kids use them to do their homework as well as play games; great parent control options.,5,2,POSITIVE,buy child husband easy set money good buy tablet kid use homework play game great parent control option
The fire tv is great for streaming movies and playing games on,5,2,POSITIVE,fire tv great streaming movie playing game
Use for entertainment only. It works GREAT. Best option for those that don't want to spend so much for an I Pad.,5,2,POSITIVE,use entertainment work great good option don t want spend pad
This is a great product. Suitable for all ages. I love using this because of the I find something new everytime I use this. I would grade this an a plus.,5,2,POSITIVE,great product suitable age love find new everytime use grade plus
"The latest software update included hands free mode. So this can do everything that the stationary Echo speaker does, but is fully portable. Personally, I don't want the device to record everything I say all the time, so I only use the tap mode. The sound quality is good for a speaker of this size. This is especially a great choice if you have a mobile hotspot with unlimited data. You can now bring Alexa on the go.",5,2,POSITIVE,late software update include hand free mode stationary echo speaker fully portable personally don t want device record time use tap mode sound quality good speaker size especially great choice mobile hotspot unlimited datum bring alexa
"The fire TV 4k is one of the best streaming devices I've ever owned. This version plays the media seamlessly. The 4k picture it displays is awesome. The only down side, there is no Vudu 4k.",5,2,POSITIVE,fire tv k good streaming device ve own version play medium seamlessly k picture display awesome vudu k
"Bought for my grandchildren,easy for them to use, Great downloads for kids,they love the easy to use camera.Great prices.The book downloads for them to read.I highly recommend this product,for anyone who has children!",5,2,POSITIVE,buy grandchildren easy use great download kid love easy use camera great price book download read highly recommend product child
The fire tablet is awesome. I thoroughly enjoy the tablet. Everyone should have this item.,5,2,POSITIVE,fire tablet awesome thoroughly enjoy tablet item
Great in sunlight. Long battery life. Very happy with purchase.,5,2,POSITIVE,great sunlight long battery life happy purchase
My daughter loves this tablet. She drops it and it keeps going. she can't put it down.,5,2,POSITIVE,daughter love tablet drop keep go t
I bought this for a friend's birthday. He loved it. He is a heavy reader and he couldn't believe how amazing the kindle was.,5,2,POSITIVE,buy friend s birthday love heavy reader couldn t believe amazing kindle
Was given as a gift and Husband extremely pleased with the purchase.,5,2,POSITIVE,give gift husband extremely please purchase
"This is fantastic! We're finally tapping into the world of ""Smart homes"". However, with all the different devices, brands and apps it makes controlling all the devices a little bit cumbersome. So you can either get one brand and stick to it... OR... you could get this! The Amazon Echo consolidates and integrates ALL your devices. So now you can control all your devices, regardless of the brand, through the Echo. Also, the voice recognition is top notch.",5,2,POSITIVE,fantastic finally tap world smart home different device brand app make controlling device little bit cumbersome brand stick amazon echo consolidate integrate device control device regardless brand echo voice recognition notch
The screen picture is crisp and bright. I will use this tablet for many things.,5,2,POSITIVE,screen picture crisp bright use tablet thing
"I have not been a fan of anything Android, but Amazon did this one right. I've had none of the issues I've experienced with other Android tablets, and it works great for shopping, browsing, reading, and listening to music.",5,2,POSITIVE,fan android amazon right ve issue ve experience android tablet work great shopping browse reading listen music
Alexa is an incredible asset to our home and she even plays music for our dog when we are not at home.,5,2,POSITIVE,alexa incredible asset home play music dog home
Purchased for my mother so she would have something bigger to look at besides her phone. It works wonderful.,5,2,POSITIVE,purchase mother big look phone work wonderful
"I have been a kindle fan for years because it does so much more if you have Amazon prime. Free movies, free music, free books, etc. The tablet has a great picture, is fast to search, and lasts for years.",5,2,POSITIVE,kindle fan year amazon prime free movie free music free book etc tablet great picture fast search last year
Alexa is really great. We also bought the phillips hue lights and the hubs is tickled to death! The grandson likes the short stories she tells with his name! We really like this,5,2,POSITIVE,alexa great buy phillip hue light hubs tickle death grandson like short story tell like
"I bought this as a gift for my elementary school aged niece. She immediately put it to work playing games and watching video. Her face lit up and in the nearly two months since I purchased it for her, she's had no problems!",5,2,POSITIVE,buy gift elementary school aged niece immediately work playing game watch video face light nearly month purchase s problem
My niece loves it! Her sister got one for Xmas and now she got one too.,5,2,POSITIVE,niece love sister get xmas get
"I bought this tablet so I had a smaller tablet to take places, I absolutely love it!",5,2,POSITIVE,buy tablet small tablet place absolutely love
"Good for streaming off internet , no buffering on Lodi and live tv !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",5,2,POSITIVE,good streaming internet buffering lodi live tv
Great tablet for Kids! Less than half the price of an iPad.,5,2,POSITIVE,great tablet kid half price ipad
This device works as well as all the reviews have claimed. It was so simple to set up and works very well.,5,2,POSITIVE,device work review claim simple set work
Enjoy my Amazon fire tv box work great lots better than the fire stick no more buffering,5,2,POSITIVE,enjoy amazon fire tv box work great lot well fire stick buffering
"Alexa is a wonderful addition to the technology in the home. ""Ask Alexa and you shall receive an answer. From weather to sports scores, you will get the scoop.",5,2,POSITIVE,alexa wonderful addition technology home ask alexa shall receive answer weather sport score scoop
"I purchased this Kindle for a friend. In fact, it's the third Kindle I have purchased for friends. It's light and can be used at the beach or in the dark. It's easy to use and worth the money.",5,2,POSITIVE,purchase kindle friend fact s kindle purchase friend s light beach dark s easy use worth money
Very good purchase for the price and back lit option is really usefult o read at night without having to have the lights on,5,2,POSITIVE,good purchase price light option usefult o read night have light
"With parental controls, this is a great tablet for my grandson to use!",5,2,POSITIVE,parental control great tablet grandson use
"I love the Paperwhite and we have had Kindles in the house for years. This Paperwhite is as snappy as the Voyage and while it doesn't have that smooth glass screen, it also doesn't have the extra $100 or so price tag. It's a great piece of tech that often goes on sale. Get it when it does. It's well worth it.",5,2,POSITIVE,love paperwhite kindle house year paperwhite snappy voyage doesn t smooth glass screen doesn t extra price tag s great piece tech go sale s worth
I bought this for my son and he absolutely loves it! I even use it too.,5,2,POSITIVE,buy son absolutely love use
My family and i have a great time with ECHO. it is easy enough for my 4 year old to use for whatever she wants. great product.,5,2,POSITIVE,family great time echo easy year old use want great product
bought for grandkids they love them. wise choice I made,5,2,POSITIVE,buy grandkid love wise choice
Got this for a Christmas present for my wife. She loves it. Finds new apps & uses all the time,5,2,POSITIVE,get christmas present wife love find new app use time
Very good tablet for only $30. My wife uses for apps such as Pinterest and Facebook and she loves it.,5,2,POSITIVE,good tablet wife use app pinterest facebook love
It was great and great for the kids and adults thanks,5,2,POSITIVE,great great kid adult thank
